,date,content,id,likeCount,retweetCount,retweetedTweet,username,verified,followersCount
0,2016-06-09 13:16:26+00:00,"@Apflocken Hej, antar att du syftar på Nordic Waterproofing. Vi kommer troligtvis få besked och kunna boka sent ikväll eller tidigt imorn!",740895331110518784,4,0,,avanzabank,True,56779
1,2016-06-08 14:37:14+00:00,Ute ur paradox. Veckans IPOs blir B3IT och Nordic Waterproofing. Avstår resten. Inte alla IPOs som ser aptitliga ut nu.,740553275427160064,1,0,,aktiesalen,False,38
2,2016-06-08 13:03:38+00:00,"Nordic waterproofing pricerange now 69-72SEK.
Books covered multiple times.
#NWG",740529719377068032,4,0,,Mattias_O76,False,154
3,2016-06-08 11:25:51+00:00,@avanzabank kan man teckna sig för Nordic waterproofing hos er?,740505111546433536,0,0,,foppii,False,12
4,2016-06-08 07:01:38+00:00,Jag lade till ett videoklipp i en spellista på @YouTube https://t.co/383HVlDeY6 3 snabba om Nordic Waterproofing,740438618838306816,5,0,,Gottodix,False,12176
5,2016-06-08 06:59:01+00:00,3 snabba om Nordic Waterproofing: https://t.co/383HVlDeY6 via @YouTube,740437962224226304,5,0,,Gottodix,False,12176
6,2016-06-08 05:26:04+00:00,"Sista dag teckna #NordicWaterproofing ska man slå till? Eller är #Nederman det bättre valet?
https://t.co/i9iarvqDxc https://t.co/7kz5tFgqVp",740414568992780291,6,2,,Gottodix,False,12176
7,2016-06-07 18:51:27+00:00,Tecknat SynAct &amp; Nordic Waterproofing! B3IT beror på tilldelning i ProvideIT,740254864723300352,1,0,,csntradeRn,False,1212
8,2016-06-07 17:22:18+00:00,"Väntar på besked rörande Sweden Care och Provide IT, tecknat några Nordic Waterproofing, lite fler Alelion och Synact. Imorgon blir det B3IT",740232428099371009,9,0,,89Olle,False,14190
9,2016-06-07 09:25:49+00:00,"Tecknar inte Nordic Waterproofing. Carnegie. Du får bara tilldelning om NE skiter sig. Teckna INTE, såvida du inte är bra kund hos Carnegie!",740112519377866752,0,0,,KarlBaisse,False,8423
10,2016-06-07 07:56:16+00:00,DI rekommenderar teckning i Nordic Waterproofing.,740089980916256768,0,0,,Bearlake_,False,305
